day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19965,15,20,0
1,19952,24,23,1
2,19931,31,35,3
3,19907,45,40,8
4,19881,52,52,15
5,19837,79,65,19
6,19774,115,84,27
7,19712,143,104,41
8,19642,163,143,52
9,19525,233,175,67
10,19391,295,226,88
11,19195,396,292,117
12,18973,510,362,155
13,18699,636,479,186
14,18336,835,576,253
15,17903,1034,737,326
16,17314,1292,970,424
17,16641,1608,1202,549
18,15878,1955,1456,711
19,14933,2344,1816,907
20,13867,2732,2252,1149
21,12641,3188,2751,1420
22,11326,3599,3274,1801
23,9899,4018,3871,2212
24,8470,4317,4490,2723
25,7099,4480,5078,3343
26,5872,4436,5671,4021
27,4725,4391,6096,4788
28,3736,4117,6617,5530
29,2895,3838,6880,6387
30,2251,3405,7121,7223
31,1705,3009,7122,8164
32,1331,2552,7042,9075
33,1035,2162,6819,9984
34,828,1762,6530,10880
35,701,1394,6196,11709
36,590,1134,5772,12504
37,529,887,5385,13199
38,469,725,4980,13826
39,420,576,4545,14459
40,397,469,4068,15066
41,387,386,3667,15560
42,382,329,3308,15981
43,382,282,2943,16393
44,409,240,2657,16694
45,435,201,2350,17014
46,464,154,2163,17219
47,487,142,1962,17409
48,510,144,1716,17630
49,536,132,1508,17824
50,589,112,1350,17949
51,635,107,1209,18049
52,669,116,1059,18156
53,695,108,930,18267
54,744,94,831,18331
55,790,82,731,18397
56,832,77,662,18429
57,865,77,613,18445
58,913,70,555,18462
59,965,60,492,18483
60,1016,62,452,18470
61,1064,57,425,18454
62,1108,50,387,18455
63,1153,54,341,18452
64,1212,57,313,18418
65,1267,54,290,18389
66,1308,59,255,18378
67,1362,50,233,18355
68,1409,45,199,18347
69,1444,44,180,18332
70,1488,45,166,18301
71,1547,33,156,18264
72,1628,30,142,18200
73,1689,36,119,18156
74,1754,29,112,18105
75,1821,27,105,18047
76,1877,21,92,18010
77,1942,18,91,17949
78,2005,21,83,17891
79,2051,23,75,17851
80,2113,20,63,17804
81,2176,20,53,17751
82,2240,18,52,17690
83,2291,19,46,17644
84,2342,17,45,17596
85,2416,14,43,17527
86,2469,10,33,17488
87,2515,13,28,17444
88,2570,11,27,17392
89,2629,9,29,17333
90,2679,9,28,17284
91,2737,9,22,17232
92,2797,6,19,17178
93,2846,8,19,17127
94,2898,10,16,17076
95,2943,9,18,17030
96,2987,9,21,16983
97,3038,9,21,16932
98,3085,11,22,16882
99,3139,13,23,16825
100,3202,10,24,16764
101,3244,9,27,16720
102,3275,13,24,16688
103,3327,10,24,16639
104,3375,8,24,16593
105,3426,7,25,16542
106,3472,11,25,16492
107,3509,13,23,16455
108,3545,13,24,16418
109,3582,13,22,16383
110,3624,11,21,16344
111,3681,7,27,16285
112,3738,5,26,16231
113,3790,9,26,16175
114,3838,9,24,16129
115,3874,10,23,16093
116,3930,14,17,16039
117,3978,11,20,15991
118,4017,10,21,15952
119,4054,9,24,15913
120,4105,9,24,15862
121,4150,10,25,15815
122,4182,15,25,15778
123,4224,16,24,15736
124,4269,14,24,15693
125,4311,17,22,15650
126,4345,17,25,15613
127,4382,20,26,15572
128,4414,20,29,15537
129,4455,22,28,15495
130,4486,25,29,15460
131,4524,26,29,15421
132,4547,26,30,15397
133,4577,26,37,15360
134,4610,26,39,15325
135,4648,25,45,15282
136,4687,27,44,15242
137,4736,19,49,15196
138,4764,26,44,15166
139,4801,18,52,15129
140,4833,24,48,15095
141,4867,32,47,15054
142,4911,28,52,15009
143,4938,34,50,14978
144,4974,40,50,14936
145,5011,37,56,14896
146,5036,39,56,14869
147,5068,43,59,14830
148,5088,45,60,14807
149,5124,43,63,14770
150,5156,45,75,14724
151,5190,46,78,14686
152,5221,45,80,14654
153,5249,45,83,14623
154,5293,49,81,14577
155,5325,43,85,14547
156,5347,32,92,14529
157,5369,43,83,14505
158,5402,39,88,14471
159,5431,34,91,14444
160,5451,47,92,14410
161,5477,49,95,14379
162,5508,51,96,14345
163,5536,51,102,14311
164,5552,65,96,14287
165,5574,68,109,14249
166,5599,77,108,14216
167,5608,73,111,14208
168,5615,84,115,14186
169,5638,81,125,14156
170,5657,80,133,14130
171,5670,85,129,14116
172,5674,88,127,14111
173,5690,87,133,14090
174,5703,87,141,14069
175,5718,92,149,14041
176,5734,94,150,14022
177,5749,100,160,13991
178,5754,104,167,13975
179,5761,116,172,13951
180,5761,127,178,13934
181,5762,121,203,13914
182,5756,127,218,13899
183,5759,136,224,13881
184,5760,140,225,13875
185,5780,139,220,13861
186,5767,161,227,13845
187,5765,150,249,13836
188,5739,163,259,13839
189,5716,179,267,13838
190,5728,169,290,13813
191,5717,175,304,13804
192,5687,195,309,13809
193,5669,212,326,13793
194,5631,237,325,13807
195,5604,256,335,13805
196,5585,250,370,13795
197,5541,269,397,13793
198,5507,286,402,13805
199,5486,261,440,13813
200,5413,288,470,13829
201,5374,293,510,13823
202,5323,308,524,13845
203,5245,343,543,13869
204,5189,330,581,13900
205,5141,348,597,13914
206,5075,343,650,13932
207,5016,369,645,13970
208,4950,383,663,14004
209,4880,396,677,14047
210,4817,399,711,14073
211,4745,401,747,14107
212,4654,432,748,14166
213,4554,433,784,14229
214,4465,444,794,14297
215,4411,437,813,14339
216,4337,449,843,14371
217,4265,446,864,14425
218,4183,444,878,14495
219,4120,458,867,14555
220,4073,461,873,14593
221,4001,484,868,14647
222,3927,494,883,14696
223,3855,501,908,14736
224,3796,472,943,14789
225,3734,469,959,14838
226,3658,471,956,14915
227,3598,467,961,14974
228,3554,437,972,15037
229,3498,443,962,15097
230,3446,445,956,15153
231,3390,447,953,15210
232,3349,419,935,15297
233,3317,406,926,15351
234,3280,391,942,15387
235,3218,400,953,15429
