day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19839,141,20,0
1,19531,402,65,2
2,18802,1020,166,12
3,17136,2401,430,33
4,13460,5385,1066,89
5,7848,9490,2429,233
6,2454,12185,4801,560
7,340,10819,7672,1169
8,21,8062,9710,2207
9,8,5799,10717,3476
10,9,4178,10866,4947
11,12,2975,10587,6426
12,22,2123,10072,7783
13,21,1569,9271,9139
14,27,1129,8489,10355
15,30,823,7733,11414
16,35,600,6964,12401
17,45,454,6225,13276
18,54,334,5532,14080
19,59,268,4935,14738
20,64,230,4383,15323
21,73,200,3834,15893
22,82,185,3374,16359
23,84,171,2970,16775
24,108,155,2631,17106
25,106,160,2318,17416
26,126,161,2059,17654
27,144,174,1825,17857
28,145,188,1646,18021
29,135,194,1454,18217
30,167,171,1340,18322
31,185,166,1208,18441
32,216,157,1078,18549
33,222,165,957,18656
34,226,173,872,18729
35,244,168,799,18789
36,281,157,731,18831
37,310,171,658,18861
38,356,157,605,18882
39,385,164,583,18868
40,409,177,527,18887
41,429,188,511,18872
42,458,198,495,18849
43,472,209,482,18837
44,478,207,488,18827
45,505,211,477,18807
46,522,221,466,18791
47,540,234,454,18772
48,550,233,444,18773
49,565,232,436,18767
50,600,257,424,18719
51,623,264,442,18671
52,619,276,442,18663
53,619,275,457,18649
54,633,260,480,18627
55,629,259,484,18628
56,645,267,499,18589
57,627,288,483,18602
58,613,290,502,18595
59,612,301,504,18583
60,601,322,511,18566
61,598,320,549,18533
62,595,332,552,18521
63,573,349,549,18529
64,569,355,564,18512
65,556,350,594,18500
66,550,345,622,18483
67,538,339,623,18500
68,527,331,648,18494
69,538,318,640,18504
70,512,330,654,18504
71,498,332,660,18510
72,499,342,648,18511
73,529,338,661,18472
74,555,341,635,18469
75,549,342,637,18472
76,554,336,647,18463
77,556,345,640,18459
78,547,367,654,18432
79,534,388,658,18420
80,537,374,674,18415
81,551,365,674,18410
82,564,386,663,18387
83,531,397,664,18408
84,527,397,699,18377
85,498,393,721,18388
86,498,368,737,18397
87,503,352,763,18382
88,502,364,754,18380
89,500,377,755,18368
90,500,384,762,18354
91,491,388,742,18379
92,518,384,743,18355
93,505,365,772,18358
94,513,377,759,18351
95,529,376,754,18341
96,545,361,771,18323
97,531,362,753,18354
98,506,396,729,18369
99,503,387,733,18377
100,514,374,721,18391
101,522,350,754,18374
102,527,374,733,18366
103,555,372,716,18357
104,556,396,701,18347
105,539,400,717,18344
106,539,409,721,18331
107,542,397,763,18298
108,550,369,792,18289
109,554,381,768,18297
110,566,388,766,18280
111,566,413,777,18244
112,579,396,787,18238
113,556,401,805,18238
114,564,420,793,18223
115,558,427,788,18227
116,551,433,805,18211
117,535,443,810,18212
118,527,451,811,18211
119,524,428,831,18217
120,521,421,845,18213
121,523,436,852,18189
122,535,458,849,18158
123,516,441,884,18159
124,497,474,872,18157
125,488,454,902,18156
126,498,418,901,18183
127,495,415,885,18205
128,490,411,906,18193
129,494,396,894,18216
130,525,416,878,18181
131,531,405,875,18189
132,549,401,877,18173
133,538,420,864,18178
134,538,438,853,18171
135,500,450,867,18183
136,492,436,866,18206
137,502,417,872,18209
138,501,418,859,18222
139,514,432,853,18201
140,547,426,822,18205
141,534,444,797,18225
142,541,458,810,18191
143,546,466,836,18152
144,544,462,872,18122
145,538,458,898,18106
146,533,463,898,18106
147,560,462,896,18082
148,551,467,894,18088
149,545,468,893,18094
150,531,483,884,18102
151,516,494,893,18097
152,516,486,897,18101
153,505,466,930,18099
154,494,462,921,18123
155,492,458,927,18123
156,520,441,950,18089
157,507,459,910,18124
158,505,464,899,18132
159,527,473,896,18104
160,537,451,907,18105
161,525,458,911,18106
162,535,466,917,18082
163,558,429,938,18075
164,549,450,925,18076
165,523,470,912,18095
166,491,476,912,18121
167,485,450,941,18124
168,517,416,970,18097
169,481,462,945,18112
170,480,450,963,18107
171,488,442,973,18097
172,491,462,941,18106
173,502,462,930,18106
174,484,475,924,18117
175,514,442,940,18104
176,503,450,936,18111
177,492,460,938,18110
178,511,460,936,18093
179,501,461,943,18095
180,486,465,925,18124
181,495,475,909,18121
