day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19969,11,20,0
1,19953,21,24,2
2,19932,35,30,3
3,19911,47,35,7
4,19887,56,46,11
5,19851,75,59,15
6,19802,107,68,23
7,19754,128,87,31
8,19685,155,114,46
9,19602,190,147,61
10,19502,232,185,81
11,19364,308,213,115
12,19210,380,267,143
13,19024,453,348,175
14,18798,549,432,221
15,18464,725,536,275
16,18082,904,671,343
17,17635,1072,862,431
18,17090,1300,1073,537
19,16420,1580,1319,681
20,15654,1893,1613,840
21,14719,2312,1920,1049
22,13751,2636,2321,1292
23,12606,3000,2787,1607
24,11458,3324,3265,1953
25,10179,3684,3714,2423
26,8843,4002,4249,2906
27,7558,4144,4854,3444
28,6333,4126,5451,4090
29,5164,4106,5941,4789
30,4189,3934,6287,5590
31,3315,3715,6572,6398
32,2656,3335,6790,7219
33,2097,2972,6798,8133
34,1669,2614,6652,9065
35,1350,2250,6500,9900
36,1063,1935,6249,10753
37,905,1585,5997,11513
38,750,1322,5680,12248
39,643,1101,5281,12975
40,546,901,4871,13682
41,524,709,4493,14274
42,497,583,4090,14830
43,499,478,3705,15318
44,493,402,3349,15756
45,491,339,3026,16144
46,503,293,2714,16490
47,520,247,2404,16829
48,541,215,2164,17080
49,567,207,1924,17302
50,578,196,1708,17518
51,601,177,1553,17669
52,617,163,1429,17791
53,658,141,1281,17920
54,699,123,1160,18018
55,737,117,1055,18091
56,772,100,942,18186
57,830,84,842,18244
58,874,87,753,18286
59,917,84,677,18322
60,981,71,610,18338
61,1029,76,527,18368
62,1092,74,459,18375
63,1146,72,419,18363
64,1205,76,372,18347
65,1261,67,345,18327
66,1308,68,322,18302
67,1369,53,301,18277
68,1416,53,270,18261
69,1468,54,244,18234
70,1524,49,225,18202
71,1567,49,202,18182
72,1618,52,189,18141
73,1669,49,178,18104
74,1723,42,162,18073
75,1782,39,153,18026
76,1851,43,141,17965
77,1899,41,139,17921
78,1972,24,140,17864
79,2022,28,124,17826
80,2068,29,115,17788
81,2124,26,113,17737
82,2184,27,94,17695
83,2225,32,83,17660
84,2288,26,87,17599
85,2344,27,83,17546
86,2392,27,83,17498
87,2438,23,82,17457
88,2481,23,81,17415
89,2538,32,71,17359
90,2577,28,77,17318
91,2633,23,72,17272
92,2693,19,73,17215
93,2744,21,66,17169
94,2797,18,60,17125
95,2852,19,58,17071
96,2896,22,56,17026
97,2944,19,56,16981
98,3000,16,58,16926
99,3054,15,58,16873
100,3106,15,52,16827
101,3147,22,50,16781
102,3192,20,50,16738
103,3240,24,47,16689
104,3291,28,47,16634
105,3341,24,49,16586
106,3388,26,49,16537
107,3432,25,49,16494
108,3483,22,53,16442
109,3531,26,46,16397
110,3578,21,43,16358
111,3619,19,50,16312
112,3669,22,47,16262
113,3709,19,47,16225
114,3755,18,47,16180
115,3798,17,48,16137
116,3836,21,43,16100
117,3869,20,41,16070
118,3905,19,40,16036
119,3955,21,44,15980
120,4001,22,45,15932
121,4056,26,42,15876
122,4102,21,45,15832
123,4149,23,45,15783
124,4183,26,41,15750
125,4230,20,44,15706
126,4276,22,44,15658
127,4328,21,49,15602
128,4361,21,47,15571
129,4399,22,42,15537
130,4436,26,44,15494
131,4479,24,47,15450
132,4526,24,45,15405
133,4573,18,50,15359
134,4603,27,42,15328
135,4646,22,48,15284
136,4688,26,52,15234
137,4717,34,48,15201
138,4768,26,55,15151
139,4810,28,53,15109
140,4839,32,55,15074
141,4876,35,51,15038
142,4921,38,47,14994
143,4956,38,49,14957
144,4988,36,55,14921
145,5020,37,55,14888
146,5032,42,59,14867
