day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19961,19,20,0
1,19943,29,25,3
2,19928,36,32,4
3,19905,45,41,9
4,19877,63,45,15
5,19848,76,56,20
6,19806,97,69,28
7,19753,121,93,33
8,19692,140,120,48
9,19598,194,135,73
10,19500,250,159,91
11,19373,314,204,109
12,19215,383,260,142
13,19008,491,329,172
14,18766,597,415,222
15,18496,686,538,280
16,18130,850,660,360
17,17733,996,814,457
18,17258,1188,997,557
19,16589,1539,1190,682
20,15874,1803,1495,828
21,15013,2202,1750,1035
22,14083,2537,2100,1280
23,13015,2890,2514,1581
24,11851,3227,3030,1892
25,10569,3613,3561,2257
26,9239,3867,4159,2735
27,7880,4146,4698,3276
28,6664,4147,5288,3901
29,5486,4151,5760,4603
30,4428,4043,6171,5358
31,3535,3812,6534,6119
32,2798,3534,6734,6934
33,2193,3156,6849,7802
34,1680,2815,6808,8697
35,1338,2349,6770,9543
36,1046,1997,6513,10444
37,844,1688,6185,11283
38,722,1386,5830,12062
39,621,1108,5490,12781
40,557,926,5015,13502
41,533,752,4633,14082
42,514,596,4247,14643
43,485,499,3840,15176
44,490,416,3459,15635
45,470,369,3109,16052
46,487,300,2806,16407
47,495,250,2514,16741
48,507,225,2242,17026
49,527,179,2030,17264
50,549,163,1820,17468
51,573,152,1611,17664
52,590,138,1481,17791
53,628,130,1324,17918
54,658,116,1194,18032
55,705,98,1073,18124
56,739,104,949,18208
57,767,100,853,18280
58,806,99,757,18338
59,862,91,674,18373
60,918,73,600,18409
61,967,75,546,18412
62,1018,69,480,18433
63,1076,68,437,18419
64,1115,69,394,18422
65,1174,69,346,18411
66,1228,60,317,18395
67,1296,53,285,18366
68,1358,51,262,18329
69,1413,47,238,18302
70,1462,43,223,18272
71,1517,46,208,18229
72,1570,38,192,18200
73,1624,45,171,18160
74,1677,42,167,18114
75,1737,35,168,18060
76,1798,32,161,18009
77,1856,34,148,17962
78,1893,31,136,17940
79,1954,31,123,17892
80,2006,34,109,17851
81,2059,26,106,17809
82,2111,27,101,17761
83,2155,33,90,17722
84,2210,32,82,17676
85,2263,33,75,17629
86,2321,19,86,17574
87,2390,20,78,17512
88,2441,20,73,17466
89,2496,20,70,17414
90,2554,19,62,17365
91,2612,20,53,17315
92,2661,22,49,17268
93,2709,20,47,17224
94,2756,19,48,17177
95,2808,14,49,17129
96,2857,16,47,17080
97,2911,16,39,17034
98,2966,13,40,16981
99,3024,12,34,16930
100,3068,12,35,16885
101,3119,10,29,16842
102,3162,8,29,16801
103,3202,6,28,16764
104,3247,12,26,16715
105,3294,8,23,16675
106,3341,9,21,16629
107,3387,11,20,16582
108,3435,10,21,16534
109,3470,12,22,16496
110,3513,14,18,16455
111,3555,12,21,16412
112,3598,10,23,16369
113,3642,13,24,16321
114,3687,7,28,16278
115,3742,13,26,16219
116,3781,8,27,16184
117,3819,12,26,16143
118,3866,12,26,16096
119,3904,9,31,16056
120,3950,8,32,16010
121,3999,14,26,15961
122,4049,17,29,15905
123,4094,13,32,15861
124,4145,17,27,15811
125,4181,19,30,15770
126,4233,18,30,15719
127,4270,17,35,15678
128,4305,12,37,15646
129,4351,11,41,15597
130,4392,17,40,15551
131,4433,22,37,15508
132,4471,27,37,15465
133,4518,26,39,15417
134,4554,23,41,15382
135,4596,27,44,15333
136,4630,28,48,15294
137,4666,26,51,15257
138,4697,25,53,15225
139,4736,29,54,15181
140,4773,28,54,15145
141,4806,25,53,15116
142,4841,24,58,15077
