day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19965,15,20,0
1,19949,27,22,2
2,19935,35,25,5
3,19917,46,29,8
4,19892,60,35,13
5,19856,80,47,17
6,19823,92,63,22
7,19782,103,86,29
8,19729,124,107,40
9,19637,184,127,52
10,19542,213,176,69
11,19412,282,219,87
12,19264,342,276,118
13,19078,434,318,170
14,18859,531,389,221
15,18558,680,492,270
16,18208,834,624,334
17,17750,1067,751,432
18,17224,1301,952,523
19,16573,1586,1194,647
20,15759,1928,1511,802
21,14891,2257,1861,991
22,13819,2698,2253,1230
23,12548,3166,2759,1527
24,11281,3548,3258,1913
25,9920,3823,3904,2353
26,8507,4070,4570,2853
27,7116,4285,5152,3447
28,5773,4409,5644,4174
29,4620,4326,6181,4873
30,3659,4093,6588,5660
31,2843,3777,6915,6465
32,2195,3377,7111,7317
33,1716,2941,7109,8234
34,1337,2492,7012,9159
35,1059,2094,6791,10056
36,831,1739,6534,10896
37,691,1414,6123,11772
38,588,1137,5805,12470
39,521,895,5366,13218
40,464,749,4893,13894
41,451,624,4468,14457
42,422,541,4056,14981
43,411,462,3684,15443
44,413,373,3294,15920
45,426,293,2941,16340
46,430,256,2645,16669
47,455,212,2341,16992
48,461,204,2077,17258
49,477,179,1871,17473
50,485,175,1657,17683
51,519,153,1469,17859
52,555,126,1298,18021
53,594,103,1164,18139
54,622,108,1022,18248
55,665,97,899,18339
56,735,90,813,18362
57,770,85,715,18430
58,835,71,644,18450
59,889,62,594,18455
60,942,69,515,18474
61,1005,66,458,18471
62,1061,61,411,18467
63,1112,56,379,18453
64,1159,53,325,18463
65,1230,45,298,18427
66,1289,42,273,18396
67,1346,37,243,18374
68,1391,36,216,18357
69,1441,41,200,18318
70,1506,36,189,18269
71,1552,35,178,18235
72,1604,34,162,18200
73,1681,31,142,18146
74,1748,22,141,18089
75,1807,23,128,18042
76,1855,24,117,18004
77,1907,32,106,17955
78,1949,28,108,17915
79,2002,30,86,17882
80,2053,23,84,17840
81,2107,25,76,17792
82,2174,24,65,17737
83,2223,25,61,17691
84,2290,21,58,17631
85,2349,22,59,17570
86,2401,21,58,17520
87,2461,21,49,17469
88,2513,21,46,17420
89,2553,24,41,17382
90,2597,24,37,17342
91,2649,22,38,17291
92,2695,16,43,17246
93,2745,18,38,17199
94,2792,19,35,17154
95,2839,11,35,17115
96,2881,10,33,17076
97,2941,9,32,17018
98,2990,12,28,16970
99,3031,16,29,16924
100,3056,18,29,16897
101,3100,12,32,16856
102,3150,12,33,16805
103,3202,11,29,16758
104,3252,10,28,16710
105,3291,14,29,16666
106,3339,15,28,16618
107,3384,10,30,16576
108,3431,7,26,16536
109,3470,9,20,16501
110,3527,8,17,16448
111,3571,12,17,16400
112,3621,11,18,16350
113,3657,9,18,16316
114,3710,10,20,16260
115,3756,10,16,16218
116,3803,4,18,16175
117,3848,4,17,16131
118,3886,3,17,16094
119,3942,2,16,16040
120,3985,4,15,15996
121,4029,2,15,15954
122,4096,3,11,15890
123,4146,3,9,15842
124,4198,2,10,15790
125,4235,3,9,15753
126,4278,3,9,15710
127,4325,4,9,15662
128,4376,2,8,15614
129,4416,0,9,15575
130,4454,0,9,15537
131,4501,0,8,15491
132,4542,1,8,15449
133,4578,5,8,15409
134,4619,7,6,15368
135,4688,10,6,15296
136,4729,7,9,15255
137,4772,4,11,15213
138,4828,7,9,15156
139,4874,7,9,15110
140,4908,7,8,15077
141,4957,6,7,15030
142,4983,5,8,15004
143,5028,4,9,14959
144,5062,6,7,14925
145,5103,4,10,14883
146,5138,2,11,14849
147,5177,5,9,14809
148,5221,8,9,14762
149,5255,9,8,14728
150,5289,8,8,14695
151,5334,9,9,14648
152,5380,9,9,14602
153,5415,8,11,14566
154,5447,11,12,14530
155,5481,10,11,14498
156,5536,10,13,14441
