day,susceptibleCount,exposedCount,infectedCount,recoveredCount
0,19964,16,20,0
1,19953,24,21,2
2,19940,32,24,4
3,19926,40,28,6
4,19909,41,42,8
5,19877,60,49,14
6,19831,86,62,21
7,19786,106,82,26
8,19741,127,96,36
9,19674,163,113,50
10,19606,194,135,65
11,19496,245,176,83
12,19369,301,228,102
13,19210,372,285,133
14,18972,507,353,168
15,18702,645,435,218
16,18421,722,584,273
17,18028,910,713,349
18,17527,1130,897,446
19,16935,1405,1091,569
20,16207,1709,1384,700
21,15374,2040,1708,878
22,14379,2453,2077,1091
23,13238,2887,2537,1338
24,12004,3268,3030,1698
25,10663,3686,3557,2094
26,9309,4023,4130,2538
27,7912,4248,4789,3051
28,6560,4407,5399,3634
29,5319,4412,5917,4352
30,4274,4181,6430,5115
31,3330,3948,6790,5932
32,2584,3612,6977,6827
33,1949,3245,7113,7693
34,1516,2746,7136,8602
35,1181,2345,6948,9526
36,921,1954,6712,10413
37,766,1603,6380,11251
38,620,1337,5960,12083
39,530,1081,5524,12865
40,450,884,5079,13587
41,402,691,4626,14281
42,404,533,4162,14901
43,385,449,3754,15412
44,388,353,3408,15851
45,395,295,3042,16268
46,394,268,2702,16636
47,426,218,2393,16963
48,451,176,2147,17226
49,485,167,1911,17437
50,515,153,1711,17621
51,546,134,1533,17787
52,582,118,1409,17891
53,611,109,1253,18027
54,645,97,1115,18143
55,683,97,1016,18204
56,729,95,890,18286
57,787,87,789,18337
58,841,81,703,18375
59,877,82,616,18425
60,933,76,563,18428
61,976,68,509,18447
62,1026,58,457,18459
63,1072,58,410,18460
64,1118,53,377,18452
65,1172,57,350,18421
66,1240,49,321,18390
67,1290,55,286,18369
68,1348,60,256,18336
69,1400,57,240,18303
70,1453,51,221,18275
71,1508,52,205,18235
72,1563,49,190,18198
73,1633,43,182,18142
74,1677,40,166,18117
75,1721,38,144,18097
76,1777,35,132,18056
77,1821,39,121,18019
78,1866,40,116,17978
79,1909,34,101,17956
80,1970,31,93,17906
81,2025,32,93,17850
82,2084,27,86,17803
83,2134,25,80,17761
84,2182,25,73,17720
85,2236,16,77,17671
86,2296,17,64,17623
87,2361,16,61,17562
88,2408,17,58,17517
89,2455,19,52,17474
90,2515,18,48,17419
91,2559,14,46,17381
92,2606,15,44,17335
93,2658,18,45,17279
94,2713,14,42,17231
95,2758,17,40,17185
96,2807,17,37,17139
97,2854,17,33,17096
98,2895,19,35,17051
99,2948,14,40,16998
100,2988,14,39,16959
101,3026,13,41,16920
102,3065,15,43,16877
103,3108,13,38,16841
104,3167,13,35,16785
105,3219,14,28,16739
106,3258,9,29,16704
107,3314,10,24,16652
108,3362,7,27,16604
109,3413,13,23,16551
110,3460,9,26,16505
111,3523,6,27,16444
112,3571,7,25,16397
113,3615,9,25,16351
114,3659,14,23,16304
115,3704,15,23,16258
116,3752,14,27,16207
117,3796,10,28,16166
118,3833,11,33,16123
119,3881,14,30,16075
120,3928,20,27,16025
121,3966,14,32,15988
122,4003,15,33,15949
123,4056,18,29,15897
124,4096,18,29,15857
125,4136,12,35,15817
126,4185,14,32,15769
127,4231,13,34,15722
128,4263,13,36,15688
129,4298,16,34,15652
130,4338,21,30,15611
131,4393,21,26,15560
132,4432,16,28,15524
133,4484,17,29,15470
134,4530,16,27,15427
135,4573,16,30,15381
136,4609,17,31,15343
137,4659,19,30,15292
138,4698,19,35,15248
139,4735,14,42,15209
140,4781,20,41,15158
141,4818,21,40,15121
142,4852,24,36,15088
143,4888,26,33,15053
144,4922,22,36,15020
145,4938,28,33,15001
146,4983,25,41,14951
147,5002,36,43,14919
148,5039,33,50,14878
149,5069,29,53,14849
150,5103,28,55,14814
151,5137,36,56,14771
152,5167,45,58,14730
153,5200,43,67,14690
154,5220,46,74,14660
155,5264,39,80,14617
156,5286,42,82,14590
157,5318,40,89,14553
158,5330,53,85,14532
159,5341,65,86,14508
160,5357,64,93,14486
161,5377,72,97,14454
162,5408,64,106,14422
163,5412,78,113,14397
164,5427,80,126,14367
165,5442,87,128,14343
166,5449,91,131,14329
167,5459,87,140,14314
168,5487,86,147,14280
169,5508,83,152,14257
170,5514,93,154,14239
171,5516,98,155,14231
172,5522,113,157,14208
173,5540,113,173,14174
174,5545,122,171,14162
175,5576,107,180,14137
176,5580,112,197,14111
177,5580,116,204,14100
178,5568,137,210,14085
179,5578,141,205,14076
180,5574,143,214,14069
181,5574,159,213,14054
182,5581,157,232,14030
183,5577,167,235,14021
184,5573,151,265,14011
185,5564,158,287,13991
186,5553,158,296,13993
187,5529,175,301,13995
188,5522,182,316,13980
189,5510,184,327,13979
190,5495,206,322,13977
191,5485,204,341,13970
192,5444,215,362,13979
193,5412,225,385,13978
194,5363,250,399,13988
195,5324,273,427,13976
196,5290,275,454,13981
197,5244,292,464,14000
198,5186,329,467,14018
199,5159,313,494,14034
200,5109,318,531,14042
201,5066,319,554,14061
202,4991,345,559,14105
203,4913,372,590,14125
204,4841,391,617,14151
205,4779,386,643,14192
206,4704,394,668,14234
207,4632,392,699,14277
208,4555,418,704,14323
209,4478,417,741,14364
210,4414,435,735,14416
211,4367,421,778,14434
212,4290,429,799,14482
213,4223,425,816,14536
214,4141,439,816,14604
215,4089,409,837,14665
216,4014,440,819,14727
217,3953,425,846,14776
218,3890,415,850,14845
219,3829,408,877,14886
220,3762,424,884,14930
221,3685,430,888,14997
222,3623,421,897,15059
223,3559,431,910,15100
224,3485,434,888,15193
225,3429,432,881,15258
226,3371,427,882,15320
227,3315,421,892,15372
228,3263,405,888,15444
229,3223,409,868,15500
230,3188,382,875,15555
231,3150,394,856,15600
232,3120,386,849,15645
233,3099,368,843,15690
234,3086,371,836,15707
235,3055,351,832,15762
236,3044,344,831,15781
237,3042,325,808,15825
238,3022,301,802,15875
239,3010,318,772,15900
240,2992,314,759,15935
241,2975,304,756,15965
242,2972,320,716,15992
243,2970,319,699,16012
244,2981,297,693,16029
245,2975,288,676,16061
246,2971,276,652,16101
247,2984,275,635,16106
248,2982,267,625,16126
249,3006,257,588,16149
250,3020,236,593,16151
251,3028,238,581,16153
252,3046,227,561,16166
253,3073,233,538,16156
254,3104,214,536,16146
255,3138,212,525,16125
256,3147,229,505,16119
257,3200,203,498,16099
258,3240,194,493,16073
259,3264,201,479,16056
260,3287,195,489,16029
261,3297,200,476,16027
262,3324,204,473,15999
263,3338,215,459,15988
264,3368,219,464,15949
265,3390,216,470,15924
266,3379,225,462,15934
267,3404,219,466,15911
268,3423,221,455,15901
269,3454,197,478,15871
270,3478,187,477,15858
271,3499,197,471,15833
272,3515,206,469,15810
273,3500,221,478,15801
274,3530,207,477,15786
275,3571,201,476,15752
276,3567,202,474,15757
277,3599,217,452,15732
278,3624,217,446,15713
279,3643,224,443,15690
280,3663,233,438,15666
281,3690,224,454,15632
282,3717,218,458,15607
283,3735,237,466,15562
284,3749,235,454,15562
285,3766,231,457,15546
286,3782,234,459,15525
287,3782,233,459,15526
288,3817,244,456,15483
289,3824,258,452,15466
290,3838,245,469,15448
291,3856,242,476,15426
292,3873,243,480,15404
293,3909,254,476,15361
294,3934,249,491,15326
295,3967,229,492,15312
296,3973,245,471,15311
297,3993,243,474,15290
298,3994,237,492,15277
299,4011,245,480,15264
300,4028,240,491,15241
301,4030,258,490,15222
302,4032,282,484,15202
303,4053,262,510,15175
304,4035,282,516,15167
305,4060,290,533,15117
306,4086,284,522,15108
307,4123,281,521,15075
308,4147,276,531,15046
309,4155,276,546,15023
310,4129,300,533,15038
311,4151,295,550,15004
312,4150,298,573,14979
313,4168,299,590,14943
314,4168,286,609,14937
315,4164,282,616,14938
316,4142,308,620,14930
317,4114,330,613,14943
318,4105,339,635,14921
319,4113,329,643,14915
320,4105,332,654,14909
321,4111,326,664,14899
322,4066,348,666,14920
323,4076,343,661,14920
324,4057,328,693,14922
325,4016,359,696,14929
326,4015,358,699,14928
327,3984,361,724,14931
328,3976,347,722,14955
329,3971,365,705,14959
330,3947,367,710,14976
331,3931,356,717,14996
332,3928,334,723,15015
333,3906,350,719,15025
334,3901,346,723,15030
335,3883,394,706,15017
336,3831,427,714,15028
337,3813,412,746,15029
338,3807,404,753,15036
339,3786,407,758,15049
340,3740,401,774,15085
341,3715,379,784,15122
342,3703,375,805,15117
343,3686,386,822,15106
344,3678,369,829,15124
345,3647,388,822,15143
346,3630,384,818,15168
347,3614,378,820,15188
348,3593,367,802,15238
349,3558,382,800,15260
350,3521,389,794,15296
351,3489,384,804,15323
352,3476,400,792,15332
353,3472,388,778,15362
354,3456,383,782,15379
355,3450,371,784,15395
356,3442,351,800,15407
357,3444,371,769,15416
358,3451,376,765,15408
359,3462,366,756,15416
360,3460,359,755,15426
361,3444,358,735,15463
362,3433,358,732,15477
363,3435,343,737,15485
364,3452,329,748,15471
365,3425,356,733,15486
366,3444,337,741,15478
367,3443,348,730,15479
368,3465,316,738,15481
369,3474,333,737,15456
370,3466,334,745,15455
371,3440,353,737,15470
372,3484,326,737,15453
373,3465,362,708,15465
374,3478,345,712,15465
375,3497,302,732,15469
376,3484,309,714,15493
377,3472,330,719,15479
378,3488,314,729,15469
379,3482,325,738,15455
380,3487,318,713,15482
381,3485,305,724,15486
382,3488,306,713,15493
383,3510,315,703,15472
384,3491,339,679,15491
385,3525,319,690,15466
386,3544,315,691,15450
387,3534,311,676,15479
388,3555,313,667,15465
389,3557,322,648,15473
390,3569,321,661,15449
391,3570,317,672,15441
392,3572,317,676,15435
393,3560,324,679,15437
394,3566,326,682,15426
395,3553,336,676,15435
396,3560,328,693,15419
397,3550,336,695,15419
398,3539,330,712,15419
399,3528,337,683,15452
400,3536,341,669,15454
401,3538,352,673,15437
402,3551,328,671,15450
403,3574,325,667,15434
404,3551,326,676,15447
405,3554,318,670,15458
406,3552,312,684,15452
407,3560,305,708,15427
408,3558,343,671,15428
409,3551,334,683,15432
410,3549,347,677,15427
411,3549,346,677,15428
412,3556,363,676,15405
413,3584,324,698,15394
414,3590,329,687,15394
415,3573,348,682,15397
416,3570,347,674,15409
417,3572,335,674,15419
418,3581,334,673,15412
419,3563,359,689,15389
420,3560,369,672,15399
421,3566,353,691,15390
422,3575,350,686,15389
423,3577,325,706,15392
424,3570,333,700,15397
425,3593,309,701,15397
426,3602,328,694,15376
427,3584,337,702,15377
428,3569,352,689,15390
429,3596,331,701,15372
430,3598,340,687,15375
431,3578,351,684,15387
432,3587,344,698,15371
433,3599,308,715,15378
434,3596,323,699,15382
435,3595,331,683,15391
436,3608,319,701,15372
437,3598,335,680,15387
438,3601,351,671,15377
439,3616,329,694,15361
440,3631,325,708,15336
441,3636,315,695,15354
442,3620,330,680,15370
443,3621,337,695,15347
444,3610,345,677,15368
445,3617,353,672,15358
446,3600,354,675,15371
447,3586,354,693,15367
448,3598,343,699,15360
449,3613,333,707,15347
450,3624,336,708,15332
451,3627,346,701,15326
452,3615,354,699,15332
453,3628,338,723,15311
454,3606,347,732,15315
455,3608,325,756,15311
456,3582,331,750,15337
457,3573,341,733,15353
458,3585,348,716,15351
459,3565,351,720,15364
460,3573,331,723,15373
461,3554,332,732,15382
462,3555,345,718,15382
463,3542,373,720,15365
464,3551,356,732,15361
465,3535,337,734,15394
466,3527,332,761,15380
467,3516,338,740,15406
468,3529,318,736,15417
469,3499,331,722,15448
470,3485,339,714,15462
471,3484,343,701,15472
472,3493,310,727,15470
473,3467,344,704,15485
474,3484,309,725,15482
475,3496,307,708,15489
476,3493,317,689,15501
477,3502,327,690,15481
478,3539,316,697,15448
479,3540,331,699,15430
480,3544,317,712,15427
481,3549,320,716,15415
482,3519,334,703,15444
483,3493,361,696,15450
484,3496,346,716,15442
485,3480,334,719,15467
486,3470,341,718,15471
487,3499,324,725,15452
488,3506,318,721,15455
489,3486,320,729,15465
490,3477,327,721,15475
491,3467,335,702,15496
492,3472,339,724,15465
493,3459,333,734,15474
494,3473,309,758,15460
495,3460,342,731,15467
496,3483,333,731,15453
497,3482,333,724,15461
498,3489,326,722,15463
499,3498,325,728,15449
500,3477,353,724,15446
501,3481,348,714,15457
502,3513,336,701,15450
503,3506,335,707,15452
504,3519,320,694,15467
505,3520,307,680,15493
506,3509,313,669,15509
507,3538,305,679,15478
508,3558,296,696,15450
509,3559,303,704,15434
510,3554,314,696,15436
511,3543,318,701,15438
512,3547,327,706,15420
513,3546,329,696,15429
514,3549,333,688,15430
515,3539,338,700,15423
516,3544,356,712,15388
517,3533,361,691,15415
518,3518,354,708,15420
519,3535,338,710,15417
520,3543,320,720,15417
521,3533,303,731,15433
522,3529,288,730,15453
523,3542,288,717,15453
524,3532,320,698,15450
525,3547,327,681,15445
526,3551,320,685,15444
527,3536,324,671,15469
528,3544,332,655,15469
529,3557,303,675,15465
530,3562,320,639,15479
531,3575,302,649,15474
532,3580,297,650,15473
533,3606,291,662,15441
534,3592,305,643,15460
535,3587,325,626,15462
536,3588,321,625,15466
537,3624,308,635,15433
538,3636,309,639,15416
539,3684,291,645,15380
540,3699,299,649,15353
541,3701,306,636,15357
542,3707,328,629,15336
543,3702,324,644,15330
544,3673,341,649,15337
545,3686,332,643,15339
546,3705,332,664,15299
547,3739,305,686,15270
548,3726,316,691,15267
549,3718,327,693,15262
550,3706,339,697,15258
551,3735,338,721,15206
552,3731,338,720,15211
553,3726,338,716,15220
554,3723,336,709,15232
555,3712,337,722,15229
556,3705,346,709,15240
557,3680,348,708,15264
558,3663,366,701,15270
559,3664,354,698,15284
560,3656,358,704,15282
561,3650,371,692,15287
562,3651,368,684,15297
563,3659,352,719,15270
564,3658,340,733,15269
565,3670,322,726,15282
566,3658,340,706,15296
567,3660,341,701,15298
568,3667,310,722,15301
569,3663,319,729,15289
570,3657,344,694,15305
571,3662,350,679,15309
572,3645,350,691,15314
573,3668,344,693,15295
574,3672,336,708,15284
575,3664,337,711,15288
576,3652,348,711,15289
577,3654,340,724,15282
578,3672,331,721,15276
579,3677,345,719,15259
580,3685,338,720,15257
581,3694,323,741,15242
582,3692,344,713,15251
583,3688,343,706,15263
584,3672,355,685,15288
585,3699,323,680,15298
586,3717,318,696,15269
587,3733,324,678,15265
588,3720,334,679,15267
589,3742,315,689,15254
590,3759,323,694,15224
591,3768,316,687,15229
592,3789,295,676,15240
593,3791,324,671,15214
594,3806,335,672,15187
595,3809,350,667,15174
596,3797,344,679,15180
597,3806,335,695,15164
598,3813,335,710,15142
599,3800,346,712,15142
600,3783,355,708,15154
601,3780,347,706,15167
602,3771,336,722,15171
603,3760,351,716,15173
604,3754,336,739,15171
605,3745,330,736,15189
606,3751,347,721,15181
607,3722,393,698,15187
608,3727,364,738,15171
609,3718,365,733,15184
610,3694,380,751,15175
611,3670,385,754,15191
612,3668,369,783,15180
613,3652,377,773,15198
614,3641,375,782,15202
615,3639,368,798,15195
616,3660,357,794,15189
617,3631,375,780,15214
618,3613,375,772,15240
619,3637,379,772,15212
620,3632,390,743,15235
621,3625,371,746,15258
622,3642,356,749,15253
623,3635,366,739,15260
624,3628,363,759,15250
625,3610,374,757,15259
626,3600,366,769,15265
627,3572,382,760,15286
628,3574,379,759,15288
629,3587,377,758,15278
630,3575,369,758,15298
631,3526,410,756,15308
632,3528,382,776,15314
633,3548,370,784,15298
634,3542,377,758,15323
635,3516,356,781,15347
636,3516,355,806,15323
637,3491,356,814,15339
638,3482,363,808,15347
639,3485,351,802,15362
640,3482,347,784,15387
641,3484,341,773,15402
642,3483,348,756,15413
643,3490,351,763,15396
644,3493,357,755,15395
645,3504,368,764,15364
646,3472,365,769,15394
647,3483,368,771,15378
648,3462,394,744,15400
649,3453,382,745,15420
650,3461,380,741,15418
651,3459,384,749,15408
652,3466,347,762,15425
653,3493,315,775,15417
654,3479,348,762,15411
655,3499,338,766,15397
656,3513,315,776,15396
657,3512,332,753,15403
658,3501,348,740,15411
659,3492,351,736,15421
660,3488,353,735,15424
661,3482,357,729,15432
662,3521,338,717,15424
663,3511,341,709,15439
664,3502,341,722,15435
665,3514,352,708,15426
666,3510,364,724,15402
667,3501,374,701,15424
668,3517,332,727,15424
669,3514,339,698,15449
670,3534,337,690,15439
671,3534,344,686,15436
672,3522,340,679,15459
673,3526,325,698,15451
674,3530,327,682,15461
675,3545,329,699,15427
676,3547,340,694,15419
677,3519,353,693,15435
678,3536,355,692,15417
679,3518,349,687,15446
680,3527,339,686,15448
681,3550,324,711,15415
682,3562,313,729,15396
683,3599,276,729,15396
684,3611,279,732,15378
685,3611,283,725,15381
686,3629,293,699,15379
687,3632,284,706,15378
688,3642,314,680,15364
689,3631,310,681,15378
690,3668,305,675,15352
691,3684,313,656,15347
692,3664,328,650,15358
693,3664,328,659,15349
694,3650,317,684,15349
695,3659,316,688,15337
696,3649,317,711,15323
697,3646,335,707,15312
698,3646,337,706,15311
699,3639,345,694,15322
700,3655,342,685,15318
701,3685,332,673,15310
702,3679,313,703,15305
703,3688,330,686,15296
704,3711,315,693,15281
705,3711,325,689,15275
706,3707,349,660,15284
707,3701,322,684,15293
708,3701,328,676,15295
709,3726,338,666,15270
710,3699,357,671,15273
711,3717,340,670,15273
712,3714,330,693,15263
713,3710,326,699,15265
714,3718,337,687,15258
715,3716,340,670,15274
716,3718,327,675,15280
717,3729,333,687,15251
718,3767,302,691,15240
719,3765,305,696,15234
720,3760,324,694,15222
721,3741,339,703,15217
722,3760,312,706,15222
723,3754,320,692,15234
724,3750,315,678,15257
725,3746,322,680,15252
726,3725,334,688,15253
727,3716,317,695,15272
728,3715,312,708,15265
729,3720,319,695,15266
